year,,year,title,artist,id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
2000,95,2000,"Lord, Send Me an Angel",The White Stripes,4bO7RGvpEWDMZHxHf9cxg9,0.594,0.135,190.546,0.15,0.44299999999999995,0.0,4,0.33399999999999996,8,158960,-13.06,0.769,1
2000,92,2000,A Boy's Best Friend,The White Stripes,5I2FvUojIXRj1w4Cl6qPe3,0.368,0.127,74.433,0.0317,0.292,0.000468,1,0.376,3,262080,-10.520999999999999,0.107,1
2000,46,2000,In Key,Spur Of The Moment,2ptNHiOb6DbdWytP2Nsslu,0.605,0.0837,176.11599999999999,0.0397,0.0987,0.903,4,0.527,0,281413,-6.117000000000001,0.601,0
2000,1160,2000,Angel,Slick Shoes,2s6Pgq3wlZ7nAamA3sGVSb,0.961,0.261,106.04,0.0557,0.0007769999999999999,0.00035499999999999996,4,0.517,11,136040,-6.932,0.645,1
2000,1209,2000,Skin Like Winter,Zao,7q4wUyMWgYXFWYRuxIWKyM,0.972,0.33899999999999997,161.866,0.147,0.0086,0.0198,4,0.249,7,143573,-5.675,0.175,1
2000,1055,2000,Get Another Boyfriend,Backstreet Boys,3nx5PkGa2sJyXVJzqE4eYM,0.75,0.102,96.11200000000001,0.135,0.0323,0.0,4,0.738,2,186107,-5.034,0.8009999999999999,0
2000,1405,2000,Loving Each Other 4 Life,Methrone,5ElPlZCW87v8ZFNKQkfyFi,0.38299999999999995,0.109,113.969,0.10800000000000001,0.311,0.0,4,0.741,8,315307,-6.107,0.475,1
2000,1158,2000,Leg Of Lamb,Queens of the Stone Age,7IZxrfKnoci7NH5AI6Fkro,0.6779999999999999,0.223,115.785,0.0288,0.0626,0.000188,4,0.5670000000000001,7,168667,-7.7989999999999995,0.882,1
2000,1134,2000,High Flyin' Bird,Richie Havens,3wIvCEaDDKQd1SZJGbh5rs,0.515,0.13,126.069,0.141,0.386,0.0,4,0.474,4,217667,-10.300999999999998,0.48100000000000004,0
2000,1321,2000,Field Of Diamonds,Johnny Cash,3pZks9bl2pfJtWL4yDhhYW,0.316,0.233,84.367,0.0293,0.8540000000000001,0.00398,4,0.514,0,194533,-11.265,0.382,1
2000,1363,2000,Bottles To The Ground,NOFX,3HAaAv2B4K8spZoYiTJjC3,0.883,0.348,169.791,0.0656,0.009059999999999999,0.0051600000000000005,4,0.39899999999999997,0,140333,-6.843999999999999,0.5670000000000001,1
2000,1252,2000,Sandwriting,Chris Rea,2EHPkt9gDq53lBmWdLwpCN,0.324,0.0614,104.027,0.0371,0.191,9.690000000000001e-05,4,0.6759999999999999,9,309533,-15.824000000000002,0.425,0
2000,1448,2000,It Will Be A Good Day (The River),Yes,4yOQmTDjzdBIaZpAyLT7L7,0.8540000000000001,0.9540000000000001,175.127,0.07400000000000001,0.348,2.72e-05,4,0.22899999999999998,7,388827,-6.0489999999999995,0.54,1
2000,19,2000,Minsan Lang Kitang Iibigin,Ariel Rivera,3P7PWShavgwjPiV08zzbXv,0.282,0.171,75.361,0.0286,0.634,2.07e-06,4,0.402,7,204427,-9.876,0.163,1
2000,1335,2000,Up Against the Wall,David Peel and The Lower East Side,6t5Kk1gcaFoq7uHJpruvD0,0.619,0.6940000000000001,140.80200000000002,0.105,0.633,0.0,4,0.691,9,104667,-11.59,0.802,1
2000,3,2000,Modern Crusaders,Enigma,65fqcmj2M1EiERwDoIflDt,0.922,0.17300000000000001,114.986,0.0583,0.004220000000000001,0.20600000000000002,4,0.617,11,230600,-8.565,0.314,0
2000,1088,2000,Still Waiting For The Punchline,Boysetsfire,4Dui9M36CgrBuW4yp0tEE7,0.868,0.136,99.45700000000001,0.0367,0.00349,0.0,4,0.547,4,143933,-5.895,0.662,0
2000,1177,2000,She Sells Sanctuary,The Cult,4vnLdmUdkOworoveEzpEST,0.765,0.132,139.453,0.0287,4.82e-06,0.873,4,0.55,7,252533,-8.684,0.41700000000000004,1
2000,1422,2000,Magic To Do - Pippin/1972 Original Broadway Cast Recording,Stephen Schwartz,6pAix4fdSSzpcUJYiEXrtE,0.693,0.40700000000000003,119.311,0.042,0.47,0.0,4,0.485,2,248867,-8.924,0.506,1
2000,1188,2000,Look What Love's Revealing,Vince Gill,5V1otkCCIF5JdoHMAKjzqx,0.414,0.0583,73.921,0.0271,0.547,6.31e-05,4,0.51,7,277467,-9.205,0.322,1
2000,1170,2000,See Myself in You,Randy Travis,5LVpz6jz3QvK3L0g61HlJ0,0.265,0.106,139.924,0.0265,0.43,9.37e-06,4,0.608,2,234533,-12.029000000000002,0.11900000000000001,1
2000,47,2000,"Pyaar Hua, Ikrar Hua (From ""Shri 420"") [1955]",Various Artists,43XFnsDw9XnyOQrPUOtfff,0.455,0.12,126.527,0.0316,0.7390000000000001,3.2e-05,4,0.45799999999999996,9,266787,-8.609,0.863,1
2000,1299,2000,Let Me Know (I Have A Right),Gloria Gaynor,29ok4nWfUmmR1A8P8t2kuq,0.735,0.302,126.78399999999999,0.043,0.0191,2.9299999999999997e-05,4,0.794,2,194933,-8.205,0.909,1
2000,1358,2000,Daddy Went Walkin',Neil Young,3jhUw6cBUGJ1Aut1TSEARe,0.2,0.0802,83.46799999999999,0.0331,0.777,0.0005200000000000001,4,0.556,2,241760,-15.174000000000001,0.39399999999999996,1
2000,1151,2000,Parting Ways,Pearl Jam,3kBCvmj4qHqM2FVuF54EZO,0.000241,0.135,210.676,0.11599999999999999,0.428,0.893,4,0.248,4,437093,-10.343,0.9690000000000001,1
2000,1227,2000,How Did I Fall in Love with You,Backstreet Boys,51gg9koXM8xJTFPZlcE7YC,0.157,0.145,77.561,0.0314,0.893,0.0,4,0.364,5,244040,-14.76,0.237,0
2000,1179,2000,Face Without A Soul,Benediction,4vyEeeCIp2qb2o88B8QfBB,0.973,0.252,109.99600000000001,0.0859,4.210000000000001e-05,0.33299999999999996,4,0.35600000000000004,6,240160,-8.293,0.157,0
2000,1231,2000,Bless You Child,Bette Midler,19jfAQsdzPKLSB4aLAOBrl,0.9059999999999999,0.152,135.523,0.0356,0.0156,0.0,4,0.579,11,275373,-8.9,0.8690000000000001,0
2000,1085,2000,Babylon Feeling (feat. Carlos Santana),Everlast,6dhqy7VMjq4vV8VECWbl5P,0.537,0.0882,155.954,0.0317,0.11599999999999999,0.0683,4,0.622,0,311560,-9.217,0.5429999999999999,1
2000,86,2000,Get All Excited,Bill Gaither,6m4ev9JVFXqpjttZaCLjRS,0.495,0.10300000000000001,129.917,0.0319,0.67,0.0,4,0.664,3,154480,-13.582,0.856,1
2000,1452,2000,The Crying of Lot G,Yo La Tengo,5xne48NPEBgonH7PD5Y9P1,0.24100000000000002,0.0867,105.139,0.0317,0.726,0.76,3,0.53,0,284933,-16.7,0.23199999999999998,1
2000,1120,2000,Tender Heart,Lionel Richie,7dPzw7DUocF7QPn79MImFb,0.586,0.136,96.96700000000001,0.0244,0.154,0.0,4,0.7120000000000001,4,268600,-6.063,0.382,1
2000,1059,2000,Captain Crash & The Beauty Queen From Mars,Bon Jovi,2svCszTLVUf8K6woN74Svl,0.887,0.0503,121.62899999999999,0.043,0.00882,0.0,4,0.479,0,271333,-5.599,0.39899999999999997,1
2000,54,2000,Hana Aluna Lullabye,Kenny Loggins,2wezXSfvnivQ5rLLvVxKNP,0.10800000000000001,0.17,130.745,0.0317,0.9109999999999999,0.006690000000000001,4,0.325,2,373133,-18.267,0.111,1
2000,1370,2000,Feed My Head,Dio,48iyjL3hG8YjhC5YX06o6g,0.649,0.33399999999999996,94.79,0.0288,0.0183,0.0729,4,0.341,0,339107,-6.569,0.23600000000000002,1
2000,1239,2000,I'm Hurting Inside,Various Artists,78y0uAahXDXutWx7xmwKYF,0.26899999999999996,0.0941,138.086,0.129,0.22899999999999998,0.00042,4,0.7659999999999999,6,217733,-16.788,0.826,1
2000,1054,2000,Don’t You Want My Love,Moodymann,4L60ULqvJpqFReaNwmq8F0,0.6409999999999999,0.228,113.402,0.0959,0.00135,0.89,4,0.735,6,264360,-11.343,0.48100000000000004,1
2000,1318,2000,Out of the Silent Planet - 2015 Remaster,Iron Maiden,01bV8btZEvmc9cFmv2UX8q,0.932,0.225,155.107,0.153,0.00936,0.000327,4,0.209,4,385653,-5.117,0.335,0
2000,1123,2000,Cruci-fiction In Space,Marilyn Manson,5lvZtVzYJhWwtWKRB2PHDg,0.524,0.19,100.03299999999999,0.0307,0.00411,0.00609,4,0.624,11,296373,-7.023,0.0726,1
