spotify_id,year,title,artist,peak_pos,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
07WHgamYYrfGoakmUjmbMA,2007,Hot,avril lavigne,95,0.938,0.355,144.949,0.0821,0.0173,0,4,0.6,8,202973,-3.806,0.469,1
081t95JRuDUrQYSS3h8iKk,2017,Sober Saturday Night,chris young,47,0.672,0.355,139.864,0.0306,0.049,0,4,0.477,1,194560,-5.234,0.263,1
08bNPGLD8AhKpnnERrAc6G,2018,Friends,Marshmello & Anne-Marie,11,0.88,0.128,95.079,0.0504,0.205,0,4,0.626,9,202621,-2.384,0.534,0
08cqYeYWTjDUqNLVOiJMUF,2003,The Jump Off,lil' kim,17,0.736,0.0549,104.907,0.378,0.225,0,4,0.837,10,234093,-8.367,0.905,0
08fhbfRSg7eEH0IZT7pB6a,2003,That Girl,marques houston,63,0.552,0.221,98.946,0.108,0.548,0,4,0.683,10,215960,-5.139,0.519,1
08gavXombT6KR0af88i9tA,2009,Jump Then Fall,taylor swift,10,0.674,0.0832,79.985,0.0276,0.115,0,4,0.618,2,237067,-5.675,0.8,1
08GOEVXupC6ECbulhPGQKm,2001,Stranger In My House,tamia,10,0.601,0.147,119.94,0.0297,0.103,0,4,0.676,0,285387,-4.905,0.206,1
08IaGkkkxLGSITrkwVP9ua,2016,Make Me Like You,gwen stefani,54,0.716,0.105,118.036,0.0484,0.0389,3.21E-05,4,0.737,5,216948,-4.715,0.798,0
08Jg7obBFAye6bCRPcEJMJ,2005,Juicebox,the strokes,98,0.981,0.0856,154.995,0.127,0.00166,0.00894,4,0.462,2,194573,-2.371,0.547,0
08kTO4EW0jb07zNsCNM83w,2005,Chariot,gavin degraw,30,0.779,0.37,167.172,0.0514,0.0437,0,4,0.281,7,239173,-5.104,0.344,1
08lCIhNvgYSt1n1O7mTTyO,2008,Check Yes Juliet (Run Baby Run),we the kings,70,0.916,0.159,166.874,0.0741,0.00287,0,4,0.347,2,220147,-4.197,0.369,1
08N1v3HwtbhYzYRUhnsvJh,2015,Fly Away,5 seconds of summer,100,0.886,0.136,92.861,0.0513,0.000699,0,4,0.421,2,212555,-3.117,0.545,1
08N3wNB4s9maD4EvaLmSd5,2012,She Will,lil wayne,3,0.827,0.238,99.456,0.0943,0.000186,0,5,0.464,8,307360,-5.176,0.0675,1
08NPIspzvBNj88lHalgA4V,2009,White Liar,miranda lambert,38,0.777,0.413,185.04,0.0336,0.0499,0.000742,4,0.35,10,287760,-4.33,0.419,1
08Ty4imIKiJwamGWHuW0y8,2001,Start The Commotion,the wiseguys,31,0.979,0.319,119.901,0.0491,0.00039,0.717,4,0.688,1,225360,-4.196,0.958,0
08uGhvS5MfBk7crUCpnjva,2009,Blame It,jamie foxx,2,0.614,0.139,176.052,0.103,0.0782,0,4,0.673,7,289747,-5.426,0.362,1
08vjsE3N31ai3ARwj5uW2i,2000,Dear Lie,tlc,51,0.444,0.179,173.834,0.0293,0.0376,0,4,0.548,0,310760,-8.734,0.243,1
08wJ1B9yu9sPeoRa5fbpr3,2017,It Ain't My Fault,brothers osborne,79,0.824,0.333,123.011,0.0331,0.00155,0.167,4,0.723,11,216800,-5.911,0.76,0
08WPvDEsHvTFuB9w8tC2OS,2017,Now & Later,sage the gemini,93,0.57,0.196,107.059,0.188,0.273,0,4,0.781,11,193181,-5.874,0.858,0
08XAlO8SlW0MWgTDNYkG27,2014,i,kendrick lamar,39,0.809,0.72,120.094,0.324,0.708,0,4,0.541,8,336013,-4.286,0.753,1
08Zs7WozVFhEKiD7yrHwYq,2018,Criminal,Natti Natasha x Ozuna,95,0.779,0.0718,159.992,0.112,0.0126,0.912,4,0.74,2,231375,-7.824,0.412,0
090R9OdFMbQQksvwuXmNEY,2018,Let It Sing,Kevin Gates,82,0.728,0.159,144.964,0.402,0.0392,0,4,0.737,5,195456,-5.498,0.587,0
098lPAWl2OmsCx64TXH5OQ,2008,Believe,staind,83,0.736,0.15,113.933,0.0284,0.000659,0.00281,4,0.537,10,257307,-4.721,0.227,0
09b5vch8cDyMN8vYA2lEwk,2009,Closer To Love,mat kearney,91,0.601,0.121,104.984,0.0337,0.508,9.33E-06,4,0.641,0,217560,-8.51,0.553,1
09BKt4jvY0KZLwfHfP2EEy,2002,Why Don't We Fall In Love,amerie,23,0.764,0.0774,90.027,0.104,0.0804,5.47E-05,4,0.548,11,159787,-6.586,0.661,0
09IOPhEh1OMe0HD9b36FJk,2018,Over Now,Post Malone,24,0.761,0.143,163.898,0.0877,0.131,1.60E-06,4,0.559,4,246987,-4.041,0.24,0
09IStsImFySgyp0pIQdqAc,2018,The Middle,"Zedd, Maren Morris & Grey",5,0.657,0.112,107.01,0.0449,0.171,0,4,0.753,7,184732,-3.061,0.437,1
09iyGiljLWRYXdRazFkdtJ,2017,I Could Use A Love Song,maren morris,75,0.634,0.0866,92.097,0.0468,0.214,0,4,0.638,6,196422,-6.474,0.473,1
09jPXOz0LS0kpqmkQRaFPO,2011,Help Is On The Way,rise against,89,0.953,0.0406,108.04,0.0739,0.000183,0.00186,4,0.347,7,237480,-3.564,0.646,0
09mhA1SJjMHniZPF4Hcihn,2016,Company,justin bieber,53,0.797,0.0846,94.948,0.0614,0.132,0,4,0.59,4,208120,-4.901,0.425,0
09MQwsUkzi29VEQLsUBSvX,2010,Hello,glee cast,35,0.3,0.117,121.766,0.0335,0.812,0,4,0.586,7,206040,-9.517,0.319,0
09SNuR471zu5nVvC4IVG8j,2018,Dame Tu Cosita (feat. Cutty Ranks),El Chombo Featuring Cutty Ranks,36,0.925,0.277,110.017,0.156,0.0348,0,4,0.891,2,152000,-5.271,0.692,1
09SqFm1irRcM5qXFpuVqm5,2008,Wanna Be Startin' Somethin' 2008,michael jackson,81,0.946,0.104,121.941,0.0814,0.107,0.000155,4,0.829,5,230027,-4.897,0.31,1
09Ua1o00SlYsiN7Mn3t7ji,2015,What Kind Of Man,florence + the machine,88,0.648,0.129,113.047,0.0425,0.0229,0,4,0.314,11,216176,-4.556,0.153,0
09ZcYBGFX16X8GMDrvqQwt,2011,For The First Time,the script,23,0.629,0.183,173.794,0.0287,0.0328,0,4,0.396,9,252853,-4.78,0.358,1
0a0HVlMAWI25EDo9Hr7aR7,2003,"Can't Stop, Won't Stop",young gunz,14,0.809,0.371,99.989,0.224,0.00837,0,4,0.873,6,262800,-5.185,0.755,0
0A2lJqfi04TKDTJYoKBxa9,2013,Memories Back Then,hustle gang,88,0.504,0.136,130.01,0.0524,0.115,0,4,0.796,2,304320,-10.989,0.221,0
0a3KWFyJEaOBOGKjTGOoN8,2016,Night's On Fire,david nail,81,0.779,0.386,164.029,0.0432,0.247,2.71E-06,4,0.539,4,189507,-4.139,0.705,1
0a4HnQAiD08Yg8z30yfPhI,2010,I Am,mary j. blige,55,0.718,0.405,170.017,0.256,0.151,0,4,0.459,11,203520,-3.511,0.565,0
0a7BloCiNzLDD9qSQHh5m7,2006,"Dance, Dance",fall out boy,9,0.961,0.078,114.492,0.139,0.00494,0,4,0.616,11,180267,-3.144,0.523,0
0a8uknDuoiWLuACnaLPlgr,2012,Faded,tyga,33,0.631,0.323,95.075,0.241,0.0196,0,4,0.841,1,213467,-8.755,0.328,1
0aAiSQEVaSSHrwaLvdmL71,2011,Afraid To Sleep,vicci martinez,78,0.824,0.199,119.968,0.0337,0.0363,0,4,0.609,11,200773,-4.03,0.453,0
0AAyo5bMIVgVxv9DF6XV2B,2016,Keep The Family Close,drake,68,0.565,0.381,76.278,0.073,0.137,0,4,0.302,9,328907,-7.663,0.214,0
0abWlmYY3pUiUYskA2UzfC,2007,Tarantula,the smashing pumpkins,54,0.989,0.0395,76.818,0.314,0.000143,0.751,4,0.32,6,230160,-4.133,0.238,1
0AcLrSfAEBQcUnHOTm5pXg,2000,Get It On Tonite,montell jordan,4,0.494,0.0633,99.003,0.0786,0.278,4.69E-05,4,0.806,10,277413,-9.973,0.861,0
0AdjJ2SaOeb5bPJ67nDbsW,2016,From The Ground Up,dan + shay,48,0.586,0.121,101.214,0.0262,0.356,0,4,0.524,9,254293,-5.431,0.285,1
0adTN3vBO3pimO3yfxm9vg,2011,Dirt Road Anthem,jason aldean,9,0.739,0.12,127.04,0.0352,0.32,2.36E-06,4,0.677,2,229413,-5.068,0.658,1
0afhq8XCExXpqazXczTSve,2017,Galway Girl,ed sheeran,53,0.876,0.327,99.943,0.1,0.0735,0,4,0.624,9,170827,-3.374,0.781,1
0AfIsqZ4gTUg9CwwW2jLeK,2003,Bother,stone sour,56,0.281,0.158,89.914,0.0287,0.388,2.29E-05,4,0.272,1,240400,-7.634,0.141,1
0aFObVR01JzPbBMjze4xPV,2012,No Church In The Wild,jay-z,72,0.746,0.144,92.808,0.136,0.287,0.0297,4,0.659,1,272507,-7.46,0.537,1
