spotify_id,year,title,artist,peak_pos,popularity,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
028gtQdBiDbPbORqQz5MI6,2008,Hell Is For Children,Pat Benatar,0,0,0.816,0.097,132.42,0.0608,0.316,0.000981,4,0.388,0,290227,-4.279,0.6,0
028njLMKzGg4gAVSgMeOhm,2007,Hum Hallelujah,Fall Out Boy,0,0,0.955,0.366,183.844,0.0677,0.00869,0,4,0.469,2,230507,-3.39,0.66,1
02acUMylPHMjJ9miDc9b38,2006,Ever The Same,rob thomas,48,1,0.729,0.11,188.017,0.0307,0.0152,2.63E-05,4,0.435,1,256600,-4.818,0.524,0
02burkmJ22aQZB2gl05HQV,2002,Have Yourself an Ozzy Little Christmas,Bob Rivers,0,0,0.425,0.321,113.433,0.0269,0.345,0,4,0.515,10,109507,-9.907,0.531,1
02COSjkOwyoMNW30Tge9Gu,2000,Deadbeat Holiday,Green Day,0,0,0.93,0.0995,82.42,0.0594,0.00238,0,4,0.529,7,215293,-4.904,0.505,1
02eD9ymfJOJOhM97HYp5R9,2010,The House That Built Me,miranda lambert,28,1,0.3,0.115,81.12,0.0289,0.575,8.46E-06,4,0.515,5,236627,-8.005,0.206,1
02GwPAncasVL82yC7y2hmN,2001,Raise Up,petey pablo,25,1,0.844,0.319,156.069,0.167,0.142,0,4,0.735,1,286427,-5.215,0.742,1
02ILwrgX3DDx9mclP2EI41,2014,I'm Ready,ajr,65,1,0.867,0.308,78.043,0.0913,0.0108,0,4,0.628,9,227311,-3.555,0.597,1
02jcEwywffn3Tsb48fXmlW,2001,Get the Party Started,P!nk,0,0,0.904,0.173,128.931,0.0459,0.00108,0,4,0.802,11,192533,-3.267,0.961,0
02JD1VdHFSLuMlpam6cZy1,2004,Jesus Is On The Main Line,Aerosmith,0,0,0.815,0.0836,68.106,0.0419,0.455,0,4,0.445,3,168667,-2.738,0.466,0
02JkRMZZkbkghL6w4Jb0aO,2006,Johnny Too Bad Freestyle - Rarities Version,Sublime,0,0,0.515,0.12,83.001,0.0526,0.482,0.295,4,0.687,7,297680,-10.08,0.746,0
02LAK7qT1wya0klSeNO96f,2008,RoboCop,Kanye West,0,0,0.435,0.339,133.762,0.104,0.141,0.00468,4,0.7,8,274360,-8.039,0.376,1
02lWbJ8NQ7IZGuNGfG34tE,2002,Bicycle Song - 2006 Remaster,Red Hot Chili Peppers,0,0,0.787,0.328,89.659,0.0398,0.2,0,4,0.685,4,203533,-4.402,0.652,0
02NcZ0ugRA786A64bnsnnc,2006,Twisted Transistor,korn,64,1,0.978,0.138,109.971,0.0644,0.000448,0.00207,4,0.583,5,188227,-3.321,0.417,0
02NKMA9cIkq6VuBNu9q9Wf,2008,The Chipmunk Song (Christmas Don't Be Late) (2007),alvin and the chipmunks,66,1,0.37,0.23,152.548,0.0344,0.707,2.98E-06,3,0.612,3,141467,-11.548,0.777,1
02QQXgeAghpU4smdM7l7We,2008,Spotlight,jennifer hudson,24,1,0.724,0.072,108.984,0.051,0.0448,0,4,0.707,11,250107,-3.887,0.659,0
02qR0Dbi6JawnhEHD3UxHq,2006,Believe,brooks,60,1,0.244,0.106,117.108,0.0374,0.767,3.38E-05,4,0.598,9,339569,-8.003,0.225,1
02sas1xqIwRm7iWSoHDvKe,2015,Oh Love,Prateek Kuhad,0,0,0.743,0.0629,176.021,0.0362,0.29,0.00696,4,0.633,7,211193,-8.029,0.548,1
02tvc9CFnTyHuSRlGeNv9w,2016,Corduroy Dreams,Rex Orange County,0,0,0.305,0.103,113.818,0.053,0.653,0,4,0.61,4,206975,-14.037,0.222,1
02WfKxLdKIHi5grvCiY2cs,2005,Grand Theft Autumn / Where Is Your Boy - Acoustic,Fall Out Boy,0,0,0.467,0.0789,125.112,0.0336,0.338,0,3,0.735,2,192133,-8.656,0.761,1
02Whh9kvTeBtkToSazDMb1,2012,A Matter Of Time,Chromatics,0,0,0.673,0.141,106.716,0.0548,0.000299,0.784,4,0.582,8,306002,-11.279,0.359,1
02y2j6Rn8qrHFWkvZfTITD,2016,Do What You're Told,Swimming With Bears,0,0,0.568,0.128,125.001,0.0357,0.129,0.031,4,0.862,9,207024,-9.283,0.899,1
02y3FRLRlmzIpi2y8ZbN2w,2003,Don't Wanna Try,frankie j,19,1,0.422,0.288,130.2,0.0356,0.395,0,4,0.677,5,245063,-8.443,0.19,0
030OCtLMrljNhp8OWHBWW3,2010,Hey Daddy (Daddy's Home),usher,24,1,0.698,0.107,95.975,0.0286,0.000176,0,4,0.59,11,224093,-4.262,0.352,1
031dDlXJVmmxNd54hkT9p0,2004,Honesty (Write Me A List),rodney atkins,57,1,0.255,0.207,77.092,0.0314,0.364,0.726,4,0.603,6,252796,-12.721,0.2,1
0332p5aiaQ6vyomilcGSy4,2012,Yuck!,2 chainz,80,1,0.886,0.188,149.968,0.295,0.654,0.000111,4,0.642,11,287573,-4.368,0.449,0
038jgLNIvp7QQNf5vILf5d,2001,Kiss This,aaron tippin,42,1,0.723,0.362,116.043,0.0259,0.0487,5.88E-06,4,0.759,6,173760,-5.38,0.666,0
03ApC9qWTCFEE5Cj42ALCH,2004,Alone,lasgo,83,1,0.924,0.754,139.989,0.0465,0.0126,0.0197,4,0.715,8,335133,-5.966,0.653,1
03B0yrE4zrioHjmY05l9xz,2005,Make Her Feel Good,teairra mari,35,1,0.67,0.189,90.522,0.197,0.0163,0.000398,4,0.82,2,226013,-9.422,0.535,1
03b1NUHnoavfpLLKcEMfIb,2007,Go Getta,young jeezy,18,1,0.726,0.177,173.99,0.193,0.115,0,4,0.375,3,229347,-6.46,0.44,0
03b6bQ291o4GG4vRKECisn,2001,Tite Squeeze,Antoine Rocks,0,0,0.843,0.136,114.704,0.0389,0.00149,0.779,4,0.554,9,196200,-6.194,0.771,1
03buZuYnP6IjQ7B9OaFOmj,2001,Dirge for November,Opeth,0,0,0.382,0.136,137.87,0.0417,0.0122,0.655,4,0.273,9,471133,-8.167,0.143,0
03fJXelYlNlL5pUNMpzw93,2018,Engine Overheat,Wishbone Ash,0,0,0.77,0.185,114.48,0.057,0.0121,0.000651,4,0.644,9,245947,-8.045,0.753,1
03fT3OHB9KyMtGMt2zwqCT,2014,Play It Again,luke bryan,14,1,0.898,0.071,144.056,0.0696,0.0832,0,4,0.51,11,226867,-3.15,0.596,1
03jdl5GTBhKsgB1Yw8mVPh,2014,In Between,Beartooth,0,0,0.972,0.666,128.092,0.138,0.00285,0,4,0.462,7,213576,-2.642,0.449,0
03K011CpEjqCtcSAYCBqow,2010,I'm A Slave 4 U,glee cast,52,1,0.779,0.0398,110.022,0.136,0.409,0.000681,4,0.909,0,204053,-4.004,0.955,0
03kgiS0813IuHfVMZix7hT,2018,All Washed Out,DREAMERS,0,0,0.7,0.17,101.016,0.0305,0.00149,0.00108,4,0.626,4,222181,-5.437,0.362,0
03PiJPNtlVmehgGNUXcsO5,2004,Sally Ann,Oscar Jenkins,0,0,0.471,0.157,133.693,0.0367,0.816,0.00133,4,0.59,2,258227,-10.845,0.799,1
03qoFZom1iAWT5VdWFRYF6,2007,Tell Me Baby,red hot chili peppers,50,1,0.993,0.0814,107.951,0.0612,0.00177,0.00246,4,0.695,0,247667,-3.114,0.281,1
03t0nRkHVxXOIBMtjxRtZh,2016,My Heart's Got a Mind of It's Own,Joanne Shaw Taylor,0,0,0.792,0.359,104.06,0.0267,0.225,0.00031,4,0.733,7,273160,-6.075,0.813,0
03teNQu8rWlFnNzF1ULXIq,2010,StarStruck,christopher wilde,77,1,0.78,0.0878,174.06,0.0827,0.0327,0,4,0.554,0,175027,-4.747,0.773,1
03uqdEuopXPSCg4MvgA2fI,2008,Cemeteries of London,Coldplay,0,0,0.805,0.1,109.152,0.0345,0.0054,0.0085,3,0.464,10,201107,-7.693,0.272,0
