Track,Artist,Position,Last,Peak,Weeks,Year,Month,Week
Could It Be,Jaheim,99,-,99,1,2000,12,16
Liquid Dreams,O-Town,21,-,21,1,2000,12,23
Mamacita,Public Announcement,59,-,59,1,2000,12,23
There Is No Arizona,Jamie O'Neal,72,-,72,1,2000,12,23
Promise,Jagged Edge,73,-,73,1,2000,12,23
This Everyday Love,Rascal Flatts,76,-,76,1,2000,12,23
Wild Horses,Garth Brooks,79,-,79,1,2000,12,23
But For The Grace Of God,Keith Urban,81,-,81,1,2000,12,23
Put It On Me,Ja Rule Featuring Lil' Mo & Vita,95,-,95,1,2000,12,23
All Good?,De La Soul Featuring Chaka Khan,96,-,96,1,2000,12,23
Oh No,Mos Def & Pharoahe Monch Featuring Nate Dogg,97,-,97,1,2000,12,23
The Christmas Shoes,NewSong,68,-,68,1,2000,12,30
Still On Your Side,BBMak,69,-,69,1,2000,12,30
You Shouldn't Kiss Me Like This,Toby Keith,77,-,77,1,2000,12,30
X,Xzibit,80,-,80,1,2000,12,30
Angel,Shaggy Featuring Rayvon,81,-,81,1,2000,12,30
Thank You In Advance,Boyz II Men,90,-,90,1,2000,12,30
I Know,Sunday,98,-,98,1,2000,12,30
Where Are You Christmas?,Faith Hill,65,-,65,1,2001,1,6
You Make Me Sick,P!nk,68,-,68,1,2001,1,6
Stutter,Joe Featuring Mystikal,73,-,73,1,2001,1,6
Butterfly,Crazy Town,75,-,75,1,2001,1,6
Bouncing Off The Ceiling (Upside Down),A*Teens,93,-,93,1,2001,1,6
Lady (Hear Me Tonight),Modjo,95,-,95,1,2001,1,6
Cha-Cha Slide,Mr. C The Slide Man,97,-,97,1,2001,1,6
Stranger In My House,Tamia,79,-,79,1,2001,1,13
Thank You,Dido,80,-,80,1,2001,1,13
