year,title,artist,peak_pos,last_pos,weeks,rank,change,spotify_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
2007,I Don't Dance,corbin bleu and lucas grabeel,70,74,2,70,4,6p6TjiJHc1kJQt5dXzkdrs,0.882,0.271,208.07,0.308,0.00337,0,4,0.587,9,216250,-5.01,0.755,0
2014,I Don't Dance,lee brice,33,56,20,60,-4,0WTK0uyF22y3oZwJpzEyJa,0.559,0.0992,92.036,0.0321,0.399,6.69E-06,4,0.587,1,221173,-7.742,0.19,1
2015,I Don't F**k With You,big sean,11,43,29,50,-7,7p54iuWHqvdeN224OglZ9t,0.721,0.345,97.966,0.0658,0.033,0,4,0.818,1,284560,-5.512,0.378,1
2015,I Don't Get Tired (#IDGT),kevin gates,90,96,9,96,0,6HMHgBHdLBQ0QYIaOp2gse,0.698,0.428,139.953,0.171,0.0524,0,4,0.492,1,209707,-5.606,0.288,1
2002,I Don't Have To Be Me ('Til Monday),steve azar,35,72,20,75,-3,5v1bA7NmQcQHvH9IDkeeF4,0.717,0.0458,168.999,0.0303,0.201,0,4,0.497,8,196952,-4.224,0.771,1
2012,I Don't Like,chief keef,73,73,3,93,-20,41pkwLpPGWSgh4AQ26uhN2,0.877,0.0576,132.033,0.0586,0.000869,0,4,0.754,2,295867,-3.486,0.538,1
2015,"I Don't Like It, I Love It",flo rida,43,64,14,97,-33,2S5LNtRVRPbXk01yRQ14sZ,0.766,0.0793,118.004,0.141,0.0242,0,4,0.854,9,224258,-4.697,0.784,0
2015,I Don't Mind,usher,11,47,23,48,-1,7aXuop4Qambx5Oi3ynsKQr,0.464,0.0902,112.974,0.178,0.205,0,4,0.87,4,251989,-8.337,0.457,1
2007,I Don't Need A Man,the pussycat dolls,93,0,1,93,New,2wTkNBFmPn2llwML4TXTAl,0.956,0.164,105.842,0.0463,0.0462,1.76E-05,4,0.786,10,220293,-3.626,0.754,1
2012,I Dont Really Care,waka flocka flame,64,0,1,64,New,5bK4oJXvHUqwI0ZpLtrnOl,0.716,0.681,144.98,0.0383,0.0349,0,4,0.506,11,235787,-4.652,0.562,1
2000,I Don't Wanna,aaliyah,35,83,20,86,-3,4h7wUvVV8Ff8UL7JqAByiL,0.572,0.226,129.999,0.0349,0.537,0,4,0.705,9,255093,-5.603,0.653,0
2008,I Don't Wanna Be In Love (Dance Floor Anthem),good charlotte,25,39,21,44,-5,6RmlLT3nJpJhWf3zkO1ums,0.884,0.187,124.968,0.0428,0.0226,0,4,0.64,6,244000,-2.609,0.573,1
2000,I Don't Wanna Kiss You Goodnight,lfo,61,73,5,91,-18,16TZZy0lkwb5CoygaBzUbi,0.758,0.0949,128.015,0.0314,0.309,0,4,0.612,0,245360,-4.123,0.579,1
2004,I Don't Wanna Know,mario winans,2,47,30,50,-3,3pYcGuasNwouukvgQcgo9a,0.493,0.121,96.998,0.0475,0.332,0.00105,4,0.84,11,257360,-5.9,0.361,0
2017,I Don't Wanna Live Forever (Fifty Shades Darker),zayn,2,46,23,48,-2,2y5aJvzXhHPA94U5GFAcXe,0.452,0.187,117.962,0.0534,0.0578,1.48E-05,4,0.737,0,245653,-8.366,0.096,1
2007,I Don't Wanna Stop,ozzy osbourne,61,99,7,99,0,7GqM30TSlRYNoTSfAXxRGq,0.948,0.231,137.933,0.0689,0.000891,1.89E-06,4,0.578,5,239840,-3.162,0.844,1
2012,I Don't Want This Night To End,luke bryan,22,43,23,50,-7,0cV4xwUA4ue2deqq4CZFko,0.728,0.228,111.934,0.0278,0.0275,0,4,0.616,9,219973,-4.02,0.375,0
2005,I Don't Want To Be,gavin degraw,10,49,28,50,-1,6ich2xMH5AR39V85miIAN8,0.862,0.133,154.746,0.0695,0.00791,0,4,0.423,0,217760,-5.13,0.462,0
2002,I Don't Want You To Go,carolyn dawn johnson,54,94,10,100,-6,5nm8hcsVzkpybnK75h7FDY,0.795,0.0315,168.316,0.0559,0.0464,0.000212,4,0.458,9,279533,-4.714,0.512,1
2013,I Dreamed A Dream,anne hathaway,69,74,3,93,-19,2JCeco3IudmCAw0MyQY2QD,0.075,0.0856,100.219,0.0453,0.936,3.56E-05,4,0.295,10,278413,-17.277,0.137,1
2010,I Dreamed A Dream,glee cast,31,31,2,96,-65,4QDo30WQZZJle0Up1mC8ez,0.328,0.111,170.914,0.0353,0.828,0,5,0.236,10,188133,-8.434,0.0606,1
2009,I Dreamed A Dream,susan boyle,62,0,1,62,Hot Shot Debut,1uenbEVPd129TmVPXyn9Lv,0.378,0.107,69.316,0.0382,0.803,0.000518,4,0.286,10,190560,-8.752,0.113,1
2013,I Drive Your Truck,lee brice,47,95,20,100,-5,6aPc6SSWgTsiXrrUpJCPlj,0.649,0.119,141.963,0.0348,0.0978,0.00206,4,0.51,11,234840,-6.215,0.118,1
2003,I Drove All Night,celine dion,45,88,13,100,-12,2ZgmGu1w1lTvdYhx0UkwZM,0.901,0.185,135,0.0608,0.000428,0,4,0.576,11,239787,-4.919,0.677,1
2017,I Fall Apart,post malone,16,16,14,16,0,75ZvA4QfFiZvzhj2xkaWAh,0.543,0.199,143.916,0.0398,0.0777,0,4,0.573,8,223347,-5.357,0.308,0
2017,I Feel It Coming,the weeknd,4,44,26,46,-2,3dhjNA0jGA8vHBQ1VdD6vV,0.819,0.0863,92.99,0.127,0.44,0,4,0.767,0,269187,-5.945,0.583,0
2011,I Feel Pretty / Unpretty,glee cast,22,22,2,85,-63,2kXnOV5df9njPkGKOiYDfr,0.484,0.125,75.492,0.0359,0.109,0,4,0.348,0,239373,-8.171,0.337,0
2012,I Found You,the wanted,89,0,2,89,Re-Entry,7qIXzpT6ynuXccTN4uwlLV,0.8,0.707,128.994,0.116,0.179,0,4,0.727,9,239013,-4.286,0.62,0
2009,I Get It In,50 cent,53,53,2,78,-25,4Sac6rZdLZQNSj7PaKrR94,0.775,0.32,94.978,0.249,0.0598,3.24E-05,4,0.68,1,201213,-8.135,0.599,1
2009,I Get It In,omarion,83,0,1,99,New,2E6gb0Ngrvun6CUAUkvZPI,0.797,0.0841,154.086,0.135,0.00274,0,4,0.721,5,187533,-4.549,0.674,0
2007,I Get Money,50 cent,20,98,14,97,1,1FKFCvi0i46qEJLZSEBH8p,0.932,0.346,124.144,0.346,0.163,0.000273,5,0.528,9,223720,-4.545,0.437,1
2017,I Get The Bag,gucci mane,11,16,16,14,2,1XRgIKC5TPwo7nWGyKqgG0,0.633,0.0993,139.948,0.168,0.0232,0.000343,4,0.89,11,233087,-5.475,0.425,1
2004,I Go Back,kenny chesney,32,72,20,78,-6,0Ox458KpvZQ1Kuj9mUNPLL,0.805,0.208,89.963,0.0466,0.0421,0,4,0.513,5,240347,-6.918,0.69,1
2014,I Got A Car,george strait,89,95,7,96,-1,4Fpq4QkR06QRDkujBUk0JY,0.633,0.12,138.399,0.0326,0.379,0,4,0.601,4,272267,-7.376,0.478,1
2004,I Got A Feelin',billy currington,50,95,16,98,-3,1tF370eYXUcWwkIvaq3IGz,0.756,0.18,112.117,0.0278,0.477,0,4,0.638,2,193760,-4.127,0.674,1
2007,I Got It From My Mama,will.i.am,31,67,9,92,-25,6jWEPpvM9BDr73wFOmdXtb,0.772,0.0463,118.998,0.0533,0.109,2.53E-05,4,0.888,6,241520,-6.164,0.869,1
2006,I Got Nerve,hannah montana,67,0,1,67,New,3bSq5OpEWmLK1o8F7saR2F,0.942,0.137,144.716,0.0431,0.00123,0,4,0.529,8,184227,-3.497,0.804,1
2011,I Got Nothin',darius rucker,84,98,10,95,3,5SHrrJllBeZqG7wEWZvYSN,0.621,0.086,147.798,0.0325,0.169,0,4,0.554,9,204360,-5.37,0.257,1
2016,I Got The Boy,jana kramer,56,59,16,73,-14,6VZCuvHwk3xmjwgKga0bNi,0.569,0.127,149.987,0.0271,0.26,0,4,0.625,0,201013,-5.954,0.361,1
2016,I Got The Keys,dj khaled,30,98,17,96,2,51Nwg5wCDDiqcTntgJUlLo,0.623,0.219,140.171,0.13,0.00287,0.00145,4,0.686,1,219759,-3.425,0.176,1
2017,I Got You,bebe rexha,43,67,11,82,-15,6DOBk1Pxe7q8YFI9Ozbrb3,0.889,0.0933,97.988,0.0519,0.0481,3.56E-06,4,0.606,9,191800,-4.782,0.337,0
2006,I Got You,craig morgan,92,92,4,94,-2,7nYlugCSeD241T5C9uzbrd,0.698,0.159,106.032,0.0264,0.337,0,4,0.59,3,233653,-5.455,0.546,1
2013,I Got You,jack johnson,88,0,1,88,New,12jjuxN1gxlm29cqL5M6MW,0.406,0.0906,98.059,0.0385,0.593,1.32E-05,4,0.898,11,179347,-6.517,0.54,1
2011,I Got You,thompson square,68,78,18,95,-17,2iDt4XPl2FJmPgKkMBUVKF,0.799,0.106,127.04,0.0531,0.0123,0.000879,4,0.533,2,183867,-2.594,0.521,1
2009,I Gotta Feeling,the black eyed peas,1,18,56,15,3,7sjnE5NFwO5qHxyAuISNNA,0.755,0.552,127.967,0.0267,0.0739,0,4,0.741,0,289280,-6.608,0.635,1
2010,I Gotta Get To You,george strait,70,78,13,95,-17,7zcT7r7dn89agQvz2sk2iT,0.441,0.11,115.993,0.0277,0.00879,8.95E-05,4,0.673,9,187501,-12.138,0.653,1
2004,I Hate Everything,george strait,35,94,20,97,-3,0CJG8Ea1rkwW0CQ5U9f5Tm,0.626,0.269,90.966,0.0287,0.414,0.000182,4,0.59,10,234547,-7.304,0.481,1
2009,I Hate This Part,the pussycat dolls,11,38,20,51,-13,670pVBYsPuD6fQBFRHGUQ3,0.628,0.252,111.579,0.0332,0.0883,0,4,0.748,5,218387,-4.284,0.484,1
2017,I Hate U I Love U,gnash,10,33,39,41,-8,7vRriwrloYVaoAe3a9wJHe,0.275,0.101,92.6,0.3,0.687,0,4,0.492,6,251034,-13.4,0.18,0
2014,I Have Nothing,tessanne chin,51,0,1,51,New,31er9IGsfFbwqy1pH4aiTP,0.401,0.164,152.974,0.0364,0.576,0,3,0.54,0,289160,-10.499,0.24,1
2013,I Hit It First,ray j,51,0,3,74,Re-Entry,6nJN1GYIHIdg1HQtrmJsqU,0.702,0.16,97.972,0.0677,0.0194,0,4,0.647,0,205714,-8.168,0.508,1
2014,I Hold On,dierks bentley,40,79,19,91,-12,5MmyCzy1Lc6ywv77f3BZpV,0.713,0.103,117.943,0.0434,0.0724,0.000721,4,0.614,0,279293,-6.498,0.215,1
2001,I Hope You Dance,lee ann womack,14,46,48,48,-2,65B1tEOv5W294uCKbmEcFV,0.446,0.0891,151.328,0.0291,0.0524,0,4,0.416,7,294533,-9.557,0.278,0
2009,I Invented Sex,trey songz,42,57,20,54,3,35fqvSfzZqg7oozEwyMUHY,0.76,0.184,89.958,0.0587,0.0678,0,4,0.69,0,247933,-4.778,0.468,1
2009,I Just Call You Mine,martina mcbride,97,0,1,97,New,0Vx5HrgZHaXz03iu6eQP4g,0.637,0.13,148.134,0.0328,0.0409,0,4,0.419,6,260387,-5.552,0.212,1
2011,I Just Had Sex,the lonely island,30,94,11,93,1,6eG57n71RMwtmtmeJxinSQ,0.8,0.199,167.958,0.167,0.0175,0,4,0.612,6,166560,-4.284,0.786,1
2003,I Just Wanna Be Mad,terri clark,27,41,20,52,-11,3BcCqaxGznRqmB1BIerea2,0.897,0.304,100.016,0.0395,0.0656,0,4,0.574,10,206400,-4.464,0.75,1
2005,I Just Wanna Live,good charlotte,51,93,8,98,-5,5TjwiYZVMHVrGvRzbeCaV7,0.83,0.103,111.033,0.0356,0.0144,0,4,0.803,10,166053,-4.636,0.935,0
2001,I Just Wanna Love U (Give It 2 Me),jay-z,11,30,21,40,-10,4njIjCNDi1UznBiyye3Xbt,0.659,0.0283,98.086,0.325,0.205,0,4,0.943,11,229996,-7.859,0.955,1
2002,I Keep Looking,sara evans,35,95,19,95,0,6ikl0jEGOPZUBcwGa7WHCY,0.774,0.198,112.863,0.0483,0.0627,0,4,0.741,10,276693,-6.036,0.787,1
2010,I Keep On Loving You,reba,78,78,10,85,-7,3e4ZaMM2t6Pv25W05KfZTP,0.477,0.111,127.106,0.027,0.331,0,4,0.525,10,193893,-5.453,0.339,1
2011,I Kissed A Girl,glee cast,66,0,1,66,New,4XKyXEKaq2ynQC1otjAKg9,0.756,0.0663,130.045,0.0596,0.00335,0,4,0.687,9,179947,-3.601,0.623,0
2008,I Kissed A Girl,katy perry,1,36,23,46,-10,005lwxGU1tms6HGELIcUv9,0.76,0.132,129.996,0.0677,0.00223,0,4,0.699,5,179640,-3.173,0.696,1
2000,I Knew I Loved You,savage garden,1,46,33,47,-1,68K0qD0VDqdm0eWXsGqnvM,0.517,0.077,169.938,0.0287,0.307,0.00115,4,0.556,9,251253,-8.769,0.779,1
2013,I Knew You Were Trouble,michelle chamuel,85,0,1,85,New,21K6jcmZPktm7MftqfLfLg,0.465,0.033,154.076,0.0367,0.00572,5.34E-06,4,0.602,6,219720,-6.762,0.664,1
2013,I Knew You Were Trouble.,taylor swift,2,49,36,49,0,7br1MYlLTPkdJ9OrctO84D,0.472,0.102,154.109,0.0396,0.00622,1.35E-06,4,0.589,6,217187,-6.678,0.707,1
2001,I Know,sunday,98,98,2,98,0,3m1OyPw3fzMPAwDMcYcM6Z,0.856,0.088,157.926,0.157,0.00179,0,3,0.531,7,251373,-5.208,0.508,1
