Track,Artist,Position,Peak,Last,Weeks,Year,Month,Week
You Owe Me,NAS Featuring Ginuwine,74.0,74.0,-,1.0,2000.0,3.0,25.0
I Wish,Carl Thomas,75.0,75.0,-,1.0,2000.0,3.0,25.0
I Belong To You,Lenny Kravitz,78.0,78.0,-,1.0,2000.0,3.0,25.0
Can't Stay,Dave Hollister,84.0,84.0,-,1.0,2000.0,3.0,25.0
Shackles (Praise You),Mary Mary,90.0,90.0,-,1.0,2000.0,3.0,25.0
Unconditional,Clay Davidson,97.0,97.0,-,1.0,2000.0,3.0,25.0
If You Don't Wanna Love Me,Tamar Braxton,98.0,98.0,-,1.0,2000.0,3.0,25.0
Be With You,Enrique Iglesias,63.0,63.0,-,1.0,2000.0,4.0,1.0
Where You Are,Jessica Simpson Featuring Nick Lachey,73.0,73.0,-,1.0,2000.0,4.0,1.0
What I Need To Do,Kenny Chesney,79.0,79.0,-,1.0,2000.0,4.0,1.0
Real Live Woman,Trisha Yearwood,85.0,85.0,-,1.0,2000.0,4.0,1.0
Mirror Mirror,M2M,87.0,87.0,-,1.0,2000.0,4.0,1.0
I'm Outta Love,Anastacia,92.0,92.0,-,1.0,2000.0,4.0,1.0
Swear It Again,Westlife,96.0,96.0,-,1.0,2000.0,4.0,1.0
Crash And Burn,Savage Garden,75.0,75.0,-,1.0,2000.0,4.0,8.0
Better Off Alone,Alice Deejay,79.0,79.0,-,1.0,2000.0,4.0,8.0
Purest Of Pain (A Puro Dolor),Son By Four,80.0,80.0,-,1.0,2000.0,4.0,8.0
Kryptonite,3 Doors Down,81.0,81.0,-,1.0,2000.0,4.0,8.0
Yes!,Chad Brock,90.0,90.0,-,1.0,2000.0,4.0,8.0
I Turn To You,Christina Aguilera,50.0,50.0,-,1.0,2000.0,4.0,15.0
Wobble Wobble,504 Boyz,57.0,57.0,-,1.0,2000.0,4.0,15.0
I Don't Wanna Kiss You Goodnight,LFO,63.0,63.0,-,1.0,2000.0,4.0,15.0
The Chain Of Love,Clay Walker,73.0,73.0,-,1.0,2000.0,4.0,15.0
Graduation (Friends Forever),Vitamin C,81.0,81.0,-,1.0,2000.0,4.0,15.0
